name,calories,sodium,sugar,carbs,gi,ingredients
Moong Dal Khichdi,250,450,2,40,45,"Moong Dal|Rice|Turmeric|Ginger"
Palak Paneer (Low Oil),280,550,4,12,35,"Spinach|Paneer|Garlic|Cumin"
Oats Idli (2 pieces),150,250,1,28,48,"Oats|Semolina|Yogurt|Carrots"
Masala Dosa,350,600,3,55,65,"Rice Batter|Potatoes|Mustard Seeds"
Chana Masala,290,520,4,35,38,"Chickpeas|Tomato|Onion|Garam Masala"
Baingan Bharta,150,380,5,15,25,"Roasted Eggplant|Peas|Onion|Tomato"
Ragi Mudde,220,50,0,45,40,"Finger Millet Flour"
Bajra Rotla,180,110,1,35,50,"Pearl Millet Flour"
Chicken Tikka (Grilled),220,650,2,6,40,"Chicken|Yogurt|Lemon|Kashmiri Mirch"
Dal Tadka,190,480,2,25,30,"Toor Dal|Garlic|Cumin|Dry Chili"
Methi Thepla,120,320,2,20,45,"Whole Wheat Flour|Fenugreek Leaves|Turmeric"
Fish Curry (Goan Style),320,750,3,10,45,"Kingfish|Coconut Milk|Tamarind"
Vegetable Upma,210,420,4,35,60,"Semolina|Peas|Carrots|Curry Leaves"
Sprouted Moong Salad,150,180,3,18,25,"Moong Sprouts|Lemon|Cucumber|Onion"
Paneer Bhurji,260,510,3,8,30,"Crumbled Paneer|Onion|Capsicum"
Jowar Roti,150,80,1,30,50,"Sorghum Flour"
Lobiya (Black Eyed Peas),240,460,3,32,38,"Black Eyed Peas|Tomato Sauce"
Tandoori Roti (Whole Wheat),110,120,1,22,50,"Whole Wheat Flour"
Bhindi Masala (Okra),160,340,4,16,30,"Okra|Amchur|Onion"
Vegetable Pulao (Brown Rice),280,410,3,45,55,"Brown Rice|Beans|Carrots|Cardamom"
Soya Chunks Curry,230,580,2,15,35,"Soya Chunks|Tomato|Ginger"
Aloo Gobi,210,480,4,30,55,"Potatoes|Cauliflower|Turmeric"
Mixed Vegetable Sambhar,160,650,5,22,45,"Arhar Dal|Drumsticks|Pumpkin|Tamarind"
Lauki Curry (Bottle Gourd),120,280,3,10,20,"Bottle Gourd|Tomato|Cumin"
Curd Rice,220,350,3,35,55,"Rice|Curd|Pomegranate|Ginger"
Mutton Curry (Lean),450,850,2,10,45,"Mutton|Onion|Ginger|Whole Spices"
Egg Curry (2 Eggs),280,620,3,8,10,"Boiled Eggs|Tomato Gravy"
Kadhi Pakora,310,950,5,35,55,"Besan|Yogurt|Fenugreek Seeds"
Dhokla (Steamed),180,680,8,25,60,"Fermented Gram Flour|Green Chili"
Rajma Chawal,380,720,4,65,48,"Kidney Beans|Rice|Onion|Ginger"
Stuffed Paratha (Mooli),210,450,2,35,52,"Whole Wheat Flour|Radish|Coriander"
Poha,250,380,5,45,65,"Flattened Rice|Peanuts|Turmeric|Onion"
Lemon Rice,280,450,2,55,65,"Rice|Lemon Juice|Mustard Seeds|Peanuts"
Kheer (Stevia),180,90,12,30,50,"Rice|Milk|Stevia|Cardamom"
Masala Oats,170,550,2,25,50,"Oats|Vegetables|Indian Spices"
Karela Sabzi (Bitter Gourd),110,210,4,12,18,"Bitter Gourd|Onion|Fennel Seeds"
Malabar Fish Biryani,550,880,4,75,65,"Seer Fish|Basmati Rice|Coconut Oil"
Shahi Paneer (Healthy),320,680,8,15,50,"Paneer|Cashew Paste|Tomato Sauce"
Tofu Bhurji (Vegan),180,320,2,6,20,"Tofu|Turmeric|Peppers"
Makhana Roasted,150,10,1,20,45,"Fox Nuts|Olive Oil|Black Pepper"
Sarson Ka Saag,180,420,3,12,30,"Mustard Greens|Spinach|Ginger|Green Chili"
Makki Ki Roti,150,110,1,28,55,"Maize Flour|Carom Seeds"
Ven Pongal,220,550,1,35,50,"Rice|Moong Dal|Black Pepper|Ginger"
Avial,190,320,5,15,35,"Mixed Vegetables|Coconut|Yogurt|Curry Leaves"
Panchmel Dal,210,480,2,30,35,"Five Lentils|Cumin|Asafoetida"
Tinda Masala,120,290,4,10,25,"Apple Gourd|Tomato|Onion|Turmeric"
Sattu Paratha,240,410,2,38,42,"Roasted Gram Flour|Whole Wheat|Pickle Spices"
Kanchipuram Idli,160,320,1,30,52,"Rice Batter|Pepper|Ginger|Carrots"
Kosambari Salad,120,150,2,14,25,"Moong Dal|Cucumber|Coconut|Lemon"
Bhel Puri (Healthy),180,550,6,35,60,"Puffed Rice|Sprouts|Chutney|Peanuts"
Sukhi Bhindi,140,280,3,12,28,"Okra|Coriander Powder|Cumin"
Besan Cheela,190,420,2,22,40,"Chickpea Flour|Spinach|Onion|Green Chili"
Kulthi Dal (Horse Gram),220,450,2,32,32,"Horse Gram|Tomato|Garlic"
Masala Oats Khichdi,210,520,3,30,50,"Oats|Moong Dal|Peas|Carrots"
Arbi Tuk (Roasted),180,350,2,25,55,"Colocasia|Dry Mango Powder|Cumin"
Drumstick Soup,90,310,4,12,25,"Moringa Pods|Tomato|Garlic|Black Pepper"
Dalia Upma,180,380,3,32,45,"Broken Wheat|Vegetables|Curry Leaves"
Soya Bhurji,190,450,2,8,25,"Soya Granules|Onion|Capsicum|Turmeric"
Malabar Spinach Dal,160,390,2,22,30,"Spinach|Toor Dal|Garlic"
Brown Rice Idli,140,240,1,28,52,"Brown Rice|Urad Dal"
Chana Chaat,180,450,5,25,35,"Boiled Chickpeas|Tomato|Onion|Chaab Masala"
Patra (Steamed),150,520,8,22,50,"Colocasia Leaves|Gram Flour|Jaggery"
Kumbh Matar (Mushroom),160,380,4,12,35,"Mushrooms|Peas|Tomato Gravy"
Appam (No Sugar),120,180,1,25,60,"Fermented Rice Batter|Coconut Milk"
Vegetable Stew (Kerala),210,350,6,18,40,"Coconut Milk|Beans|Carrots|Potato"
Methi Matar Malai (Low Fat),240,420,7,18,45,"Fenugreek|Peas|Cashew Cream"
Ghiya Chana Dal,190,380,3,25,30,"Bottle Gourd|Bengal Gram|Cumin"
Ragi Dosa,140,280,1,28,45,"Finger Millet|Urad Dal"
Tandoori Gobi,130,420,4,15,35,"Cauliflower|Yogurt|Tandoori Spices"
Shalgam Ki Sabzi,110,250,5,12,30,"Turnip|Ginger|Tomato|Green Chili"
Lobhiya Salad,160,320,3,22,35,"Black Eyed Peas|Lemon|Onion|Tomato"
Whole Moong Dal,180,410,2,28,30,"Green Gram|Ginger|Garlic"
Kathal Ki Sabzi (Jackfruit),210,480,5,28,45,"Raw Jackfruit|Onion|Tomato Sauce"
Bajra Khichdi,240,350,2,38,50,"Pearl Millet|Moong Dal|Ghee"
Millet Pulao,220,380,3,40,48,"Barnyard Millet|Peas|Beans"
Papad Ki Sabzi,160,850,2,15,55,"Roasted Papad|Yogurt Gravy"
Pattagobi Matar,140,310,5,15,35,"Cabbage|Peas|Turmeric"
Kuttu Ki Puri (Singhara),280,420,1,35,50,"Buckwheat Flour|Potato"
Aloo Methi,190,380,2,25,52,"Potato|Fresh Fenugreek Leaves"
Paneer Tikka (Grilled),250,550,3,10,40,"Paneer|Yogurt|Capsicum|Onion"
Sem Ki Phali,130,280,4,14,30,"Broad Beans|Garlic|Cumin"
Tomato Rasam,60,450,3,10,30,"Tomato|Tamarind|Black Pepper"
Garlic Chutney (Lehsun),50,350,1,5,20,"Garlic|Red Chili|Vinegar"
Peanut Sundal,170,280,2,12,35,"Boiled Peanuts|Coconut|Mustard Seeds"
Urad Dal Chilka,190,420,2,28,35,"Split Black Gram|Ginger|Tomato"
Ragi Java (Porridge),150,50,4,30,40,"Ragi Flour|Buttermilk|Curry Leaves"
Singhara Sabzi,160,280,3,32,48,"Water Chestnut|Tomato Gravy"
Ridge Gourd Sabzi (Turai),110,240,4,10,20,"Ridge Gourd|Cumin|Green Chili"
Kachumber Salad,40,150,3,8,15,"Cucumber|Tomato|Onion|Lemon"
Masoor Dal Soup,140,420,2,20,32,"Red Lentils|Garlic|Carrots"
Chicken Saagwala,280,550,3,12,35,"Chicken|Spinach|Ginger|Garlic"
Fish Moilee,340,650,5,15,45,"Fish|Coconut Milk|Turmeric|Ginger"
Keema Matar (Lean),350,720,3,15,40,"Minced Meat|Peas|Tomato|Garam Masala"
Vegetable Jalfrezi,210,480,6,18,45,"Peppers|Carrots|Beans|Onion"
Dal Makhani (Healthy),280,650,4,35,45,"Black Gram|Kidney Beans|Yogurt"
Amritsari Kulcha,310,720,4,55,70,"Refined Flour|Potato|Butter"
Pindi Chole,280,680,4,40,38,"Chickpeas|Tea Leaves|Spices"
Veg Makhanwala (Low Fat),240,580,8,22,50,"Mixed Veg|Tomato|Milk"
Sindhi Sai Bhaji,180,450,3,20,30,"Spinach|Dals|Vegetables"
Navratan Korma (Healthy),290,620,10,25,55,"Vegetables|Nuts|Cream"
Tandoori Mushrooms,120,410,3,10,30,"Mushrooms|Yogurt|Tikka Spices"
Soya Chunk Pulao,240,480,2,35,38,"Soya Chunks|Rice|Cinnamon"
Suran Ki Sabzi (Yam),180,350,2,32,50,"Elephant Foot Yam|Tomato|Cumin"
Pointed Gourd (Parwal),130,290,4,15,30,"Parwal|Potato|Ginger"
Sprouted Matki Masala,170,380,3,22,28,"Moth Bean Sprouts|Onion|Tomato"
Sabudana Khichdi,310,420,4,65,70,"Sago Pearls|Peanuts|Potato"
Rajgira Roti (Amaranth),160,90,1,30,45,"Amaranth Flour|Water"
Vada Pav (1 unit),280,750,5,45,75,"Potato Bonda|Bread|Garlic Chutney"
Misal Pav,350,1100,6,55,65,"Sprouted Sprouts|Spicy Gravy|Bread"
Kanda Poha,250,420,5,45,65,"Beaten Rice|Onion|Peanuts"
Upma (Rava),210,480,4,35,60,"Semolina|Vegetables|Curry Leaves"
Akki Roti,180,250,2,40,60,"Rice Flour|Onion|Coriander"
Pesarattu,190,350,1,30,45,"Green Moong Batter|Ginger|Chili"
Rava Idli,150,420,2,30,65,"Semolina|Yogurt|Eno"
Neer Dosa,110,180,1,25,70,"Thin Rice Batter"
Kalakand (Low Sugar),180,120,15,20,60,"Milk|Stevia|Cardamom"
Moong Dal Halwa (Small),250,50,25,35,70,"Moong Dal|Ghee|Sugar"
Mysore Pak (Small),280,80,30,40,80,"Besan|Ghee|Sugar"
Sandesh (1 piece),120,40,10,12,50,"Chhena|Sugar|Saffron"
Rasgulla (1 piece),150,30,25,30,75,"Chhena|Sugar Syrup"
Khandvi,160,550,5,18,55,"Gram Flour|Yogurt|Mustard Seeds"
Gajak (Til/Jaggery),180,20,18,25,70,"Sesame|Jaggery"
Bhakri (Whole Grain),150,110,1,30,50,"Jowar/Bajra Flour"
Thecha (Spicy),40,450,1,5,15,"Green Chili|Garlic|Peanuts"
Pitla Bhakar,280,650,3,45,55,"Gram Flour Porridge|Jowar Roti"
Kothimbir Vadi,180,450,3,22,50,"Coriander|Besan|Steam-Fried"
Bombil Fry (Grilled),190,420,0,5,35,"Bombay Duck Fish|Spices"
Prawn Balchao,310,850,5,12,45,"Prawns|Vinegar|Spicy Sauce"
Xacuti Chicken,420,780,4,15,50,"Chicken|Roasted Coconut|Spices"
Sol Kadhi,90,350,2,8,20,"Kokum|Coconut Milk|Garlic"
Bebinca (Small piece),250,45,28,35,85,"Coconut Milk|Egg|Flour|Sugar"
Litti Chokha,350,550,2,55,45,"Whole Wheat|Sattu|Mashed Eggplant"
Dal Baati,450,750,3,65,55,"Wheat Balls|Mixed Dal|Ghee"
Gatte Ki Sabzi,260,780,4,28,55,"Gram Flour Dumplings|Yogurt Gravy"
Ker Sangri,210,450,5,20,30,"Dried Berries|Beans|Spices"
Laal Maas (Lean),410,880,2,12,45,"Mutton|Mathania Mirch|Garlic"
Machher Jhol,280,550,3,10,40,"Fish|Mustard Oil|Turmeric|Ginger"
Shukto,150,320,6,18,30,"Bitter Gourd|Mixed Veg|Milk"
Cholar Dal,210,450,10,32,45,"Chana Dal|Coconut|Jaggery"
Aloo Posto,260,350,2,35,65,"Potato|Poppy Seeds|Green Chili"
Mishti Doi (Stevia),140,80,12,18,45,"Yogurt|Caramelized Milk"
Jhalmuri,150,520,4,28,55,"Puffed Rice|Mustard Oil|Peanuts"
Millet Khichdi,220,380,1,35,42,"Barnyard Millet|Moong Dal|Ginger|Peas"
Tofu Palak,210,480,2,8,25,"Spinach|Tofu|Garlic|Fenugreek"
Brown Rice Poha,210,320,4,38,55,"Red/Brown Flattened Rice|Peanuts|Onion"
Sprouted Lobia Salad,160,210,3,20,30,"Black Eyed Peas|Lemon|Cucumber|Mint"
Sattu Drink (Savory),140,450,1,22,35,"Roasted Gram Flour|Jeera|Black Salt"
Methi ki Sabzi,110,240,2,10,20,"Fenugreek Leaves|Garlic|Moong Dal"
Masoor Dal Tadka,180,420,1,25,32,"Red Lentils|Tomato|Garlic|Cumin"
Oats Uttapam,190,350,2,30,50,"Oats|Yogurt|Capsicum|Onion"
Grilled Pomfret,240,310,0,2,35,"Pomfret Fish|Ginger|Garlic|Lemon"
Lauki Muthiya (Steamed),160,380,4,28,45,"Bottle Gourd|Gram Flour|Whole Wheat"
Jowar Upma,180,410,3,32,48,"Sorghum Grits|Vegetables|Curry Leaves"
Ragi Ambli,130,120,2,25,35,"Finger Millet|Buttermilk|Onion"
Moringa Leaves Stir-fry,90,150,2,8,20,"Drumstick Leaves|Coconut|Garlic"
Pumpkin Erissery,170,280,6,22,55,"Pumpkin|Cowpeas|Coconut|Cumin"
Besan Khandvi,180,520,3,20,52,"Besan|Yogurt|Sesame Seeds"
Soya Matar Masala,230,550,3,15,35,"Soya Chunks|Green Peas|Tomato"
Boiled Kala Chana,180,250,2,28,30,"Black Chickpeas|Ginger|Lemon"
Steamed Hilsa (Shorshe),320,580,2,8,45,"Hilsa Fish|Mustard Paste|Green Chili"
Dhokar Dalna,280,650,4,35,55,"Chana Dal Cakes|Potato|Ginger"
Vegetable Daliya,170,390,3,30,42,"Broken Wheat|Carrots|Beans"
Appam with Stew,240,420,5,38,50,"Rice Flour|Coconut Milk|Vegetables"
Pesarattu (Green Gram Dosa),210,380,1,32,45,"Green Moong|Ginger|Chili"
Ridge Gourd (Turai) Dal,160,320,3,18,25,"Ridge Gourd|Moong Dal|Turmeric"
Beetroot Thoran,110,210,8,15,40,"Beetroot|Coconut|Mustard Seeds"
Kuttu Cheela,190,280,1,25,48,"Buckwheat Flour|Ginger|Coriander"
Grilled Paneer Salad,220,350,3,8,30,"Paneer|Bell Peppers|Cucumber"
Mushroom Xacuti (Healthy),180,450,4,12,35,"Mushrooms|Coconut|Spices"
Soya Milk Chai (Stevia),60,40,1,4,20,"Soya Milk|Ginger|Stevia"
Barley Khichdi,200,350,2,38,35,"Barley|Moong Dal|Turmeric"
Tinda Fry,130,220,3,12,25,"Apple Gourd|Dry Mango Powder"
Chana Dal with Lauki,190,380,2,25,32,"Bengal Gram|Bottle Gourd"
