disease,allowed_foods,restricted_foods,max_calories,max_sodium,max_sugar,max_carbs,max_gi
Dengue Recovery,Papaya Leaf Extract|Coconut Water|Kiwi|Pomegranate|Porridge,Oily Food|Red Meat|Spicy Masalas|Caffeine,600,600,20,90,60
Typhoid Recovery,Honey|Boiled Rice|White Bread|Bananas|Moong Dal Soup,High Fiber|Raw Salads|Fried Snacks|Butter|Milk,550,500,25,110,70
Lactose Intolerance (Indian),Soy Milk|Coconut Milk|Tofu|Hard Cheese (Aged)|Poha,Paneer|Fresh Milk|Kheer|Ice Cream|Malai,650,700,20,100,65
Rheumatoid Arthritis (RA),Walnuts|Turmeric|Fatty Fish|Chia Seeds|Garlic,Sugar|Refined Oil|Red Meat|Eggplant (Brinjal)|Dairy,600,600,15,70,55
Night Blindness (Vit A),Carrots|Spinach|Papaya|Sweet Potato|Milk,Processed Snacks|Soda,700,700,25,110,65
Liver Cirrhosis (Mild),Egg Whites|Paneer (Low Fat)|Rice|Tinda|Lauki,Salt|Alcohol|Raw Fish|Chillies|Mutton,650,300,20,100,65
Post-Pregnancy (Lactation),Oats|Methi Laddoo|Dalia|Milk|Garlic|Gond,Spicy Food|Caffeine|Raw Papaya|Gas-forming Veggies,850,800,30,120,60
Gestational Diabetes,Ragi|Sprouts|Paneer|Whole Wheat|Roasted Chana,Sugar|Mango|White Rice|Sweets|Fruit Juice,500,750,5,50,45
Asthma (Indian Context),Tulsi|Honey|Ginger|Warm Soup|Seeds,Cold Curd|Ice Cream|Cold Drinks|Banana|Processed Salt,700,600,20,90,60
Hyperthyroidism,Cruciferous Veggies (Cooked)|Berries|Legumes|Potatoes,Iodized Salt|Seafood|Seaweed|Caffeine,700,700,25,110,65
Alzheimer's (Geriatric),Leafy Greens|Berries|Nuts|Turmeric|Coconut Oil,Saturated Fats|Butter|Cheese|Sugary Snacks,600,600,15,75,55
Chronic Bronchitis,Garlic|Turmeric|Warm Water|Chicken Soup|Veggies,Dairy|Excess Salt|Fried Foods|Cold Yogurt,750,600,20,80,60
Acne/Skin Health (Indian),Karela|Neem Tea|Lemon Water|Cucumber|Curd,Chocolate|White Sugar|Fried Samosas|Full-fat Milk,500,800,5,50,50
Psoriasis (Anti-Inflammatory),Cold-water Fish|Pumpkin Seeds|Carrots|Spinach,Red Meat|Alcohol|Nightshades (Tomato/Potato)|Dairy,650,700,20,80,55
Bronchial Asthma,Warm Fluids|Flaxseeds|Berries|Ginger|Garlic,Preservatives|Salt|Cold Foods|Dried Fruits,700,700,25,90,65
Binge Eating Disorder (Recovery),High Fiber Dalia|Moong Dal|Apples|Buttermilk,Bulk Snacks|Biscuits|Sweets|White Flour,550,700,15,70,50
Cushing's Syndrome,Spinach|Greek Yogurt|Fish|Almonds|Oats,Table Salt|Sugar|White Bread|Canned Goods,600,400,10,60,50
Eczema (Indian Diet),Fatty Fish|Probiotic Curd|Turmeric|Aloe Vera Juice,Dairy|Soy|Gluten|Sugar|Egg Yolks,650,800,20,90,60
